% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 9 2026, 18:30"
% Dimension,1
% Nodes,5000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,0.01007725485233121,0.012044671522734182,6.248568413666455E-20,-49493.41684209811,-30185.65340103134,365826.15812745213
2,0.010104609914112743,0.012688338094508473,3.643191916270415E-21,-4297.800555456133,1325.5322079550988,89322.66456028302
3,0.010131964975894277,0.013332004666282767,7.274142586175277E-20,-8032.025585809036,-26889.150180531888,398646.2431103479
4,0.010159320037675812,0.013975671238057059,7.824993976546954E-20,-8123.987167710681,-405.1985901061846,414408.4011190547
5,0.010186675099457344,0.01461933780983135,9.940130716021335E-21,-2282.7721464250894,16208.178058547765,146819.67417376963
6,0.010278312946645283,0.012325738295362335,5.3322449735990325E-20,12232.397942593272,-57177.18005747964,337123.8643920134
7,0.010308600594404964,0.01297297823349009,7.966071995507775E-20,-71519.36724095464,11162.696090803336,411895.9497925134
8,0.010338888242164645,0.013620218171617843,1.8160105910465728E-20,17760.997538162115,7526.941503228285,198743.76786538877
9,0.010650141487513747,0.012240631902490882,5.705939993148209E-20,4141.109998901572,-10669.342194766508,353758.36113477976
10,0.010686294307229723,0.012895018573325565,4.891599527566789E-21,9691.433742127245,-9537.841327656462,102736.54844176967
11,0.010722447126945702,0.013549405244160248,4.0167012148223046E-20,-12448.775578209139,-28436.00030255384,295338.0552578927
12,0.010758599946661677,0.014203791914994929,5.084171871497372E-20,39216.70876669143,-25329.177766582394,330825.20242422685
13,0.01085413216780597,0.012525272041472498,2.6495063453507113E-20,11716.941192681028,34525.14905478441,238414.81348162648
14,0.010893217573500093,0.013183232078660642,6.365323826953494E-20,33038.9739499601,52350.745435594305,368674.354123078
15,0.010932302979194217,0.01384119211584879,9.635992951688429E-21,-4854.525247817301,11368.43956089377,144925.426144263
16,0.011267978700346704,0.013101699052142654,1.510703361561923E-20,-24788.26581015597,839.8385276776448,180424.21371804064
17,0.011312929277997125,0.013766805822037728,6.920047421089732E-20,-27996.053812163147,65949.82429959519,383143.4903601569
18,0.011429951388966653,0.012724805787582661,3.112852183055005E-20,-31601.527508074905,-31779.802566344242,257556.22238610112
19,0.011477834552595217,0.013393485923831194,6.421106074316242E-20,-48120.659592935,38275.77321780742,370401.1861864832
20,0.01179591475787882,0.012632552662004283,6.012494422597983E-20,7819.767595854502,-49219.10104091037,359892.7593556682
21,0.011849663093463683,0.013308379530959742,3.690689063232833E-20,41112.61595369611,-6489.457358663533,281599.13621418294
22,0.012005770610127338,0.012924339533692826,7.277543814072367E-20,-53288.383922883775,38291.177608611666,394303.40588828025
23,0.01385642923238854,0.007153658478734975,3.4975614139611603E-20,28741.725125884892,-34794.52058298275,273410.86771298625
24,0.014142569433897483,0.007765037876892945,3.597834801887965E-20,-25245.63670950288,21649.102007980382,279080.20333483
25,0.014428709635406422,0.008376417275050917,3.939659248506187E-20,14018.782698290608,740.1762106740571,293767.9144123072
26,0.014714849836915362,0.00898779667320889,6.07935170678623E-20,9649.330190833389,-59468.26015836882,360339.78042606986
27,0.015000990038424299,0.00959917607136686,2.297852281361079E-20,-18788.381217957773,6553.078376247552,223728.08826236136
28,0.014159440212399585,0.0073545069527109755,6.558667714646354E-20,7433.9362193631205,37483.00534549414,377541.5785235426
29,0.014449657238172304,0.007968065458837255,2.4428501087488975E-20,11714.914219719993,-9790.462064810336,231085.67921788053
30,0.014739874263945026,0.008581623964963531,3.7355380125239376E-20,28191.188346007562,41578.95272290463,281942.4689697048
31,0.015030091289717749,0.009195182471089807,1.729436768312049E-20,7480.820842779648,24618.259716765173,193153.85476568475
32,0.014475245146648953,0.007142645394536703,3.138792627805524E-20,18328.316431827316,44051.988948736784,258141.1375589326
33,0.014773615820949236,0.007760562116599592,6.882760368288025E-20,53581.05676410647,-42612.93590540167,382657.3547876787
34,0.015071986495249516,0.00837847883866248,5.956740125007942E-20,-40898.02949072368,-39692.281975497914,357119.35909211665
35,0.0153703571695498,0.00899639556072537,3.1931982646384386E-20,-18500.443791451442,9572.757344919844,263958.2217641255
36,0.014782332950923776,0.007345672976481011,6.469738211265793E-20,56422.97677315164,-35691.202689102785,370928.5534890826
37,0.015084780449487838,0.007965768806512206,3.5596231065633746E-20,15935.663625984154,-29947.756266890134,277492.3799812483
38,0.0153872279480519,0.008585864636543398,1.5336371953904397E-20,10100.056976186996,8793.147621703396,183008.8810780108
39,0.01509406106090936,0.0071316323103384335,5.963777027349429E-20,-46605.75260254387,-37024.56756253967,356922.88445190486
40,0.015404662208000984,0.0077560863563062386,2.4621874000187997E-20,12076.667294111845,27890.246489847697,230509.28177625837
41,0.015715263355092608,0.008380540402274041,7.741362852102217E-20,28607.721046692626,32728.740090245497,409969.225749167
42,0.01540522568944796,0.007336839000251045,5.802985240575685E-21,1322.1588650309977,-7003.389848485383,112649.362518206
43,0.015719903660803367,0.007963472154187154,5.241482390814266E-20,23494.064224931433,-53339.14564242505,334187.9749045302
44,0.01571287697516977,0.007120619226140162,4.4522012940939124E-20,11772.926430121157,6893.728916148562,312351.6856471606
45,0.016035708595052735,0.007751610596012882,1.8754886188761343E-20,-16603.270911350803,-942.6290494562405,202238.71513615805
46,0.01602811842797215,0.0073280050240210805,6.771677741875497E-20,-44158.9291936532,-4154.3682690184505,383023.91302298533
47,0.014656968355581132,0.010125105580249715,4.8788609251185317E-20,4091.7932108908476,-1112.2983695306086,327260.11065792764
48,0.01405941727632893,0.010010399286753041,7.939038479132063E-20,46498.80221113744,-54709.10509686073,411277.454854475
49,0.013461866197076724,0.00989569299325637,2.1183841806503672E-20,11947.781186701794,-19563.275507193033,214439.83962513314
50,0.01226676403857232,0.00966628040626302,7.97888897192722E-20,-16506.628199370538,-73227.6935650025,411757.8609532059
51,0.011669212959320118,0.009551574112766349,3.139057867275788E-20,23.02425539740017,47998.01815405041,258099.5252741975
52,0.014344175017166947,0.010247231608759419,7.338393353337824E-20,17273.428556094997,-1986.4237582548865,401017.07708495844
53,0.013144109849838291,0.010013745985685312,2.404659670931397E-20,-22446.286710112545,-4970.864749799573,228619.01346780692
54,0.01254407726617396,0.009897003174148256,2.995115243774472E-21,4888.893830125718,-107.50092275239841,80944.28187337656
55,0.01194404468250963,0.009780260362611204,6.754030607397148E-20,59482.547389634114,11342.698875390977,380289.7695623892
56,0.013708662322690078,0.010483337593617303,7.292511537623602E-20,28917.098842513526,59782.67597221766,394587.75488918094
57,0.013103666730201493,0.01036252174599949,1.9843609037755595E-20,34655.04471988095,7591.659659326271,205690.98318392385
58,0.012498671137712908,0.010241705898381673,4.4731657063972876E-21,79.77517687103325,18034.022993712202,97446.2573213441
59,0.013993420063528095,0.01072016991562368,2.556745333351724E-20,14823.283865985497,-32921.76597359042,234159.60794694923
60,0.01338594296662739,0.010597317549965487,3.999459910917725E-21,-3113.3050191618167,-16194.441239848738,92244.3159025193
61,0.01277846586972668,0.010474465184307292,3.122424111204541E-20,33850.70341841242,-24975.164724266873,258426.67470810257
62,0.013955458448303428,0.011070982193978236,1.837428248098235E-20,10843.438892771832,-16508.88669413048,199878.2183020379
63,0.013343018342578464,0.010944056792239282,4.736981562843357E-20,-6578.8730318906,-2657.4472759200653,322415.5800536485
64,0.012730578236853501,0.010817131390500327,7.499148004413223E-20,-26341.017171059426,-19472.17532112819,404442.1079965631
65,0.013627776083416483,0.01118088911424566,5.248889129384406E-20,-37206.058698243985,-41112.82142495411,334912.97473803995
66,0.013012854473279396,0.011051927194466323,2.3177913491526807E-20,-31287.731436411923,15756.619773263274,222846.9875528655
67,0.012397932863142305,0.010922965274686983,2.3896978887140702E-20,-29022.409390109333,16479.250259035816,226611.65312460435
68,0.012962485335994088,0.011392556882618978,2.710053136343126E-20,-42195.606821634196,-5261.847982014177,240191.72813244845
69,0.012342600717032744,0.011259521926758878,1.008619767023076E-20,-23351.663171829547,-10722.695937488801,146575.413665293
70,0.013247243076832112,0.011629389204625357,5.2800360040804075E-21,-7741.407530391142,14436.16224077161,106415.16580891341
71,0.01319439243513468,0.011967982374737627,2.1833669094452377E-20,-3323.802796972481,7339.281900370834,218796.07591361954
72,0.012567063302936953,0.011828837864756388,4.1935090982315E-20,-4121.096301299183,23534.101858997874,302488.32437515707
