% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"Apr 25 2026, 01:49"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,-0.0015215956591809585,0.015585275590475395,1.499658822954105E-19,-124937.06395839555,76198.15220319998,-554832.8500869974
2,-0.001420933718835812,0.01575373155382949,8.743661430269002E-21,-10900.255385172706,-3361.8683327777117,-138083.02554769517
3,-0.0013202717784906656,0.015922187517183592,1.7457974780569515E-19,-20360.800003230972,68162.70730635451,-615007.7754826724
4,-0.001219609838145519,0.01609064348053769,1.8780023238910257E-19,-20613.69878947846,1028.1456031304872,-641790.6086803663
5,-0.0011189478978003728,0.016259099443891794,2.3856319792024657E-20,-5777.672395142057,-41022.72891802679,-225080.41442060928
6,-0.001018285957455226,0.01642755540724589,1.2797405442005066E-19,30846.686637272865,144184.85764714185,-509146.8119904413
7,-9.176240171100797E-4,0.016596011370599996,1.9118611856244095E-19,-180321.94998561303,-28144.532087495707,-621648.4839352987
8,-8.16962076764933E-4,0.01676446733395409,4.358427449963093E-20,44981.17856628362,-19062.594828202287,-305457.3204339099
9,-7.163001364197862E-4,0.01693292329730819,1.3694276024458964E-19,10506.136969999157,27068.484176402257,-547557.5096706618
10,-6.156381960746397E-4,0.01710137926066229,1.1739840320795304E-20,24502.89567232735,24114.567277584345,-156822.69672097955
11,-5.149762557294931E-4,0.017269835224016386,9.640092849912029E-20,-31516.819401316217,71992.00277978586,-453293.9329561584
12,-3.1365237503919993E-4,0.017606747150724585,1.2202028404419114E-19,99102.33359837516,64007.93701812142,-503965.58255349984
13,-2.1299043469405354E-4,0.01777520311407869,6.358819550870883E-20,29587.87148472094,-87183.64771361066,-362123.9009371025
14,-1.1232849434890705E-4,0.01794365907743279,1.5276802128215404E-19,83347.5986714522,-132065.50927779468,-557690.7458617658
15,-0.001532540609244299,0.015690064063502818,2.3126388808135455E-20,-12300.005635791198,-28804.437824690773,-223145.3852685045
16,-0.0014319290133601118,0.01585903118274711,3.625689473895792E-20,-62654.28302985662,-2122.757647327413,-275087.7669932763
17,-0.0013313174174759252,0.01602799830199141,1.6608143290903386E-19,-70527.02097907719,-166139.29495746392,-576247.079060544
18,-0.0012307058215917383,0.016196965421235703,7.470851205224692E-20,-79686.95123426414,80136.4926645309,-388912.972967901
19,-0.001130094225707551,0.016365932540479997,1.5410679960480496E-19,-121410.28561700649,-96571.25646025107,-560606.7662705533
20,-0.0010294826298233638,0.01653489965972429,1.443000886731712E-19,19763.930800540606,124397.93064349632,-548589.1563574004
21,-9.288710339391772E-4,0.016703866778968585,8.857662139524316E-20,103851.6560673527,16392.556835466647,-428274.6299349522
