% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 11 2026, 11:47"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,-0.1436999996967654,-0.049758328613745774,6.248568413666455E-20,-49493.41684209811,-30185.65340103134,365826.15812745213
2,-0.14369999878706147,-0.049033314454983074,3.643191916270415E-21,-4297.800555456133,1325.5322079550988,89322.66456028302
3,-0.1436999978773576,-0.04830830029622038,7.274142586175277E-20,-8032.025585809036,-26889.150180531888,398646.2431103479
4,-0.14369999696765368,-0.04758328613745768,7.824993976546954E-20,-8123.987167710681,-405.1985901061846,414408.4011190547
5,-0.14369999605794978,-0.04685827197869499,9.940130716021335E-21,-2282.7721464250894,16208.178058547765,146819.67417376963
6,-0.14369999514824586,-0.04613325781993229,5.3322449735990325E-20,12232.397942593272,-57177.18005747964,337123.8643920134
7,-0.143699994238542,-0.0454082436611696,7.966071995507775E-20,-71519.36724095464,11162.696090803336,411895.9497925134
8,-0.14369999332883807,-0.0446832295024069,1.8160105910465728E-20,17760.997538162115,7526.941503228285,198743.76786538877
9,-0.14369999241913417,-0.043958215343644205,5.705939993148209E-20,4141.109998901572,-10669.342194766508,353758.36113477976
10,-0.14369999150943025,-0.0432332011848815,4.891599527566789E-21,9691.433742127245,-9537.841327656462,102736.54844176967
11,-0.14369998969002243,-0.04178317286735611,4.0167012148223046E-20,-12448.775578209139,-28436.00030255384,295338.0552578927
12,-0.14369998878031853,-0.04105815870859342,5.084171871497372E-20,39216.70876669143,-25329.177766582394,330825.20242422685
13,-0.1436999878706146,-0.04033314454983071,2.6495063453507113E-20,11716.941192681028,34525.14905478441,238414.81348162648
14,-0.14369998696091074,-0.03960813039106802,6.365323826953494E-20,33038.9739499601,52350.745435594305,368674.354123078
15,-0.14369998605120682,-0.03888311623230532,9.635992951688429E-21,-4854.525247817301,11368.43956089377,144925.426144263
16,-0.14369998514150292,-0.03815810207354263,1.510703361561923E-20,-24788.26581015597,839.8385276776448,180424.21371804064
17,-0.14369998423179903,-0.03743308791477993,6.920047421089732E-20,-27996.053812163147,65949.82429959519,383143.4903601569
18,-0.14369998332209513,-0.036708073756017236,3.112852183055005E-20,-31601.527508074905,-31779.802566344242,257556.22238610112
19,-0.1436999824123912,-0.03598305959725454,6.421106074316242E-20,-48120.659592935,38275.77321780742,370401.1861864832
20,-0.14339999939353074,-0.049516657227491545,6.012494422597983E-20,7819.767595854502,-49219.10104091037,359892.7593556682
21,-0.14339999757412294,-0.04806662890996615,3.690689063232833E-20,41112.61595369611,-6489.457358663533,281599.13621418294
22,-0.14339999666441902,-0.04734161475120345,7.277543814072367E-20,-53288.383922883775,38291.177608611666,394303.40588828025
23,-0.14339999575471515,-0.04661660059244076,3.4975614139611603E-20,28741.725125884892,-34794.52058298275,273410.86771298625
24,-0.14339999484501123,-0.04589158643367806,3.597834801887965E-20,-25245.63670950288,21649.102007980382,279080.20333483
25,-0.14339999393530733,-0.04516657227491536,3.939659248506187E-20,14018.782698290608,740.1762106740571,293767.9144123072
26,-0.1433999930256034,-0.04444155811615266,6.07935170678623E-20,9649.330190833389,-59468.26015836882,360339.78042606986
27,-0.14339999211589952,-0.043716543957389976,2.297852281361079E-20,-18788.381217957773,6553.078376247552,223728.08826236136
28,-0.14339999120619562,-0.042991529798627276,6.558667714646354E-20,7433.9362193631205,37483.00534549414,377541.5785235426
29,-0.1433999902964917,-0.042266515639864576,2.4428501087488975E-20,11714.914219719993,-9790.462064810336,231085.67921788053
30,-0.1433999893867878,-0.04154150148110188,3.7355380125239376E-20,28191.188346007562,41578.95272290463,281942.4689697048
31,-0.14339998756737998,-0.04009147316357649,1.729436768312049E-20,7480.820842779648,24618.259716765173,193153.85476568475
32,-0.1433999866576761,-0.03936645900481379,3.138792627805524E-20,18328.316431827316,44051.988948736784,258141.1375589326
33,-0.1433999857479722,-0.038641444846051094,6.882760368288025E-20,53581.05676410647,-42612.93590540167,382657.3547876787
34,-0.1433999848382683,-0.0379164306872884,5.956740125007942E-20,-40898.02949072368,-39692.281975497914,357119.35909211665
35,-0.14339998392856437,-0.0371914165285257,3.1931982646384386E-20,-18500.443791451442,9572.757344919844,263958.2217641255
36,-0.14339998301886048,-0.036466402369763,6.469738211265793E-20,56422.97677315164,-35691.202689102785,370928.5534890826
37,-0.14279999969676538,-0.04975832861374577,3.5596231065633746E-20,15935.663625984154,-29947.756266890134,277492.3799812483
38,-0.14279999878706148,-0.04903331445498308,1.5336371953904397E-20,10100.056976186996,8793.147621703396,183008.8810780108
39,-0.14279999787735756,-0.04830830029622038,5.963777027349429E-20,-46605.75260254387,-37024.56756253967,356922.88445190486
40,-0.14279999696765366,-0.04758328613745768,2.4621874000187997E-20,12076.667294111845,27890.246489847697,230509.28177625837
41,-0.14279999514824587,-0.0461332578199323,7.741362852102217E-20,28607.721046692626,32728.740090245497,409969.225749167
42,-0.14279999423854195,-0.0454082436611696,5.802985240575685E-21,1322.1588650309977,-7003.389848485383,112649.362518206
43,-0.14279999332883805,-0.0446832295024069,5.241482390814266E-20,23494.064224931433,-53339.14564242505,334187.9749045302
44,-0.14279999241913413,-0.0439582153436442,4.4522012940939124E-20,11772.926430121157,6893.728916148562,312351.6856471606
45,-0.14279999150943024,-0.043233201184881505,1.8754886188761343E-20,-16603.270911350803,-942.6290494562405,202238.71513615805
