% Model,※磁场聚焦光电阴极模型（30纳米-毫米尺度）.mph
% Version,COMSOL 6.4.0.293
% Date,"May 25 2026, 22:47"
% Dimension,1
% Nodes,50000
% Expressions,6
% Description,"粒子位置，x 分量, 粒子位置，y 分量, 粒子动能, 粒子速度，x 分量, 粒子速度，y 分量, 粒子速度，z 分量"
% 索引,qx (µm) @ t=0,qy (µm) @ t=0,cpt.Ep (J) @ t=0,cpt.vx (m/s) @ t=0,cpt.vy (m/s) @ t=0,cpt.vz (m/s) @ t=0
1,-0.0015526490139991542,0.015583155087037205,6.248568413666455E-20,-49493.41684209811,-30185.65340103134,365826.15812745213
2,-0.00168392894694651,0.01572870132897552,3.643191916270415E-21,-4297.800555456133,1325.5322079550988,89322.66456028302
3,-0.0018152088798938663,0.01587424757091384,7.274142586175277E-20,-8032.025585809036,-26889.150180531888,398646.2431103479
4,-0.0019464888128412218,0.01601979381285215,7.824993976546954E-20,-8123.987167710681,-405.1985901061846,414408.4011190547
5,-0.002077768745788578,0.016165340054790468,9.940130716021335E-21,-2282.7721464250894,16208.178058547765,146819.67417376963
6,-0.0022090486787359337,0.016310886296728784,5.3322449735990325E-20,12232.397942593272,-57177.18005747964,337123.8643920134
7,-0.002340328611683291,0.016456432538667104,7.966071995507775E-20,-71519.36724095464,11162.696090803336,411895.9497925134
8,-0.0024716085446306463,0.01660197878060542,1.8160105910465728E-20,17760.997538162115,7526.941503228285,198743.76786538877
9,-0.002602888477578002,0.01674752502254373,5.705939993148209E-20,4141.109998901572,-10669.342194766508,353758.36113477976
10,-0.002734168410525358,0.016893071264482046,4.891599527566789E-21,9691.433742127245,-9537.841327656462,102736.54844176967
11,-0.002865448343472714,0.017038617506420356,4.0167012148223046E-20,-12448.775578209139,-28436.00030255384,295338.0552578927
12,-0.003128008209367426,0.01732970999029699,5.084171871497372E-20,39216.70876669143,-25329.177766582394,330825.20242422685
13,-0.0032592881423147823,0.017475256232235302,2.6495063453507113E-20,11716.941192681028,34525.14905478441,238414.81348162648
14,-0.003390568075262138,0.01762080247417362,6.365323826953494E-20,33038.9739499601,52350.745435594305,368674.354123078
15,-0.001562149621977927,0.015688042188131524,9.635992951688429E-21,-4854.525247817301,11368.43956089377,144925.426144263
16,-0.0016934798993862427,0.015834099585960035,1.510703361561923E-20,-24788.26581015597,839.8385276776448,180424.21371804064
17,-0.0018248101767945587,0.01598015698378855,6.920047421089732E-20,-27996.053812163147,65949.82429959519,383143.4903601569
18,-0.001956140454202874,0.016126214381617057,3.112852183055005E-20,-31601.527508074905,-31779.802566344242,257556.22238610112
19,-0.0020874707316111897,0.016272271779445565,6.421106074316242E-20,-48120.659592935,38275.77321780742,370401.1861864832
20,-0.002218801009019505,0.016418329177274073,6.012494422597983E-20,7819.767595854502,-49219.10104091037,359892.7593556682
21,-0.0023501312864278204,0.016564386575102584,3.690689063232833E-20,41112.61595369611,-6489.457358663533,281599.13621418294
22,-0.0024814615638361365,0.016710443972931095,7.277543814072367E-20,-53288.383922883775,38291.177608611666,394303.40588828025
23,-0.0027441221186527676,0.017002558768588118,3.4975614139611603E-20,28741.725125884892,-34794.52058298275,273410.86771298625
24,-0.0028754523960610834,0.01714861616641663,3.597834801887965E-20,-25245.63670950288,21649.102007980382,279080.20333483
25,-0.003006782673469399,0.017294673564245144,3.939659248506187E-20,14018.782698290608,740.1762106740571,293767.9144123072
26,-0.0031381129508777144,0.017440730962073648,6.07935170678623E-20,9649.330190833389,-59468.26015836882,360339.78042606986
27,-0.0032694432282860306,0.01758678835990216,2.297852281361079E-20,-18788.381217957773,6553.078376247552,223728.08826236136
28,-0.0014498205605271565,0.01575175899249164,6.558667714646354E-20,7433.9362193631205,37483.00534549414,377541.5785235426
29,-0.0015812515268573916,0.015898838702100546,2.4428501087488975E-20,11714.914219719993,-9790.462064810336,231085.67921788053
30,-0.0017126824931876267,0.016045918411709444,3.7355380125239376E-20,28191.188346007562,41578.95272290463,281942.4689697048
31,-0.0018441134595178616,0.016192998121318348,1.729436768312049E-20,7480.820842779648,24618.259716765173,193153.85476568475
32,-0.0019755444258480965,0.016340077830927252,3.138792627805524E-20,18328.316431827316,44051.988948736784,258141.1375589326
33,-0.002106975392178331,0.01648715754053615,6.882760368288025E-20,53581.05676410647,-42612.93590540167,382657.3547876787
34,-0.002369837324838801,0.01678131695975395,5.956740125007942E-20,-40898.02949072368,-39692.281975497914,357119.35909211665
35,-0.0025012682911690356,0.016928396669362855,3.1931982646384386E-20,-18500.443791451442,9572.757344919844,263958.2217641255
36,-0.002632699257499271,0.017075476378971756,6.469738211265793E-20,56422.97677315164,-35691.202689102785,370928.5534890826
37,-0.0027641302238295053,0.017222556088580657,3.5596231065633746E-20,15935.663625984154,-29947.756266890134,277492.3799812483
38,-0.002895561190159741,0.01736963579818956,1.5336371953904397E-20,10100.056976186996,8793.147621703396,183008.8810780108
39,-0.003026992156489976,0.017516715507798458,5.963777027349429E-20,-46605.75260254387,-37024.56756253967,356922.88445190486
40,-0.0031584231228202106,0.01766379521740736,2.4621874000187997E-20,12076.667294111845,27890.246489847697,230509.28177625837
41,-0.001459371512966889,0.015857157249476152,7.741362852102217E-20,28607.721046692626,32728.740090245497,409969.225749167
42,-0.001590852823758083,0.01600474811497525,5.802985240575685E-21,1322.1588650309977,-7003.389848485383,112649.362518206
43,-0.0017223341345492778,0.016152338980474346,5.241482390814266E-20,23494.064224931433,-53339.14564242505,334187.9749045302
44,-0.0018538154453404726,0.016299929845973442,4.4522012940939124E-20,11772.926430121157,6893.728916148562,312351.6856471606
45,-0.0021167780669228624,0.016595111576971643,1.8754886188761343E-20,-16603.270911350803,-942.6290494562405,202238.71513615805
46,-0.002248259377714056,0.016742702442470735,6.771677741875497E-20,-44158.9291936532,-4154.3682690184505,383023.91302298533
47,-0.002379740688505251,0.01689029330796983,4.8788609251185317E-20,4091.7932108908476,-1112.2983695306086,327260.11065792764
48,-0.0025112219992964456,0.017037884173468926,7.939038479132063E-20,46498.80221113744,-54709.10509686073,411277.454854475
49,-0.0026427033100876397,0.017185475038968025,2.1183841806503672E-20,11947.781186701794,-19563.275507193033,214439.83962513314
50,-0.002774184620878834,0.01733306590446712,7.97888897192722E-20,-16506.628199370538,-73227.6935650025,411757.8609532059
51,-0.002905665931670029,0.01748065676996622,3.139057867275788E-20,23.02425539740017,47998.01815405041,258099.5252741975
52,-0.003037147242461223,0.017628247635465312,7.338393353337824E-20,17273.428556094997,-1986.4237582548865,401017.07708495844
